Year,Gen,N,NS,Mean,SLDF,SD,V,N,NS,Mean,SLDF,SD,V
1966,67,57,12,25.22,1.85,1.491,0.059,52,12,4.60,-0.34,0.291,0.063
1967,68,58,12,24.75,1.70,1.519,0.061,58,12,4.47,-0.35,0.341,0.076
1968,69,60,12,23.90,2.05,1.539,0.064,57,12,4.23,-0.30,0.226,0.053
1969,70,60,12,26.62,2.01,1.687,0.063,60,12,4.40,-0.32,0.232,0.053
1970,71,60,12,27.82,1.62,1.218,0.044,60,12,4.82,-0.64,0.609,0.126
1971,72,60,12,26.72,1.89,1.548,0.058,60,12,4.70,-0.57,0.302,0.064
1972,73,60,12,27.24,1.52,1.118,0.041,60,12,4.24,-0.35,0.286,0.067
1973,74,60,12,26.25,1.95,1.621,0.062,60,12,4.19,-0.32,0.273,0.065
1974,75,60,12,25.19,2.61,2.222,0.088,51,12,4.63,-0.46,0.359,0.078
1975,76,60,12,24.66,4.28,3.696,0.150,60,12,4.22,-0.39,0.279,0.066
1976,77,60,12,26.83,2.58,2.299,0.086,60,12,4.21,-0.34,0.321,0.076
1977,78,60,12,23.62,3.27,2.938,0.124,60,12,4.09,-0.40,0.332,0.081
1978,79,60,12,28.91,2.08,1.649,0.057,60,12,4.41,-0.40,0.300,0.068
1979,80,60,12,26.55,1.82,1.853,0.070,60,12,4.46,-0.71,0.547,0.123
1980,81,31,12,28.88,1.63,1.663,0.058,58,12,4.79,-0.74,0.674,0.141
1981,82,59,12,26.92,3.02,2.118,0.079,60,12,4.01,-0.49,0.451,0.112
1982,83,60,12,27.42,2.36,2.022,0.074,56,12,4.78,-0.76,0.542,0.113
1983,84,60,12,29.68,3.05,2.855,0.096,60,11,4.43,-0.62,0.470,0.106
1984,85,60,12,28.65,4.32,3.573,0.125,60,12,3.71,-0.46,0.381,0.103
1985,86,60,12,29.53,2.54,1.943,0.066,60,11,3.99,-0.49,0.395,0.099
1986,87,60,11,27.44,3.58,2.963,0.108,60,12,4.53,-0.67,0.548,0.121
1987,88,60,11,29.86,3.65,3.386,0.113,60,12,4.43,-0.41,0.513,0.116
1988,89,60,11,32.29,3.30,2.555,0.079,60,12,4.76,-0.50,0.470,0.099
1989,90,60,12,33.06,3.62,2.892,0.087,58,12,4.72,-0.50,0.458,0.097
1990,91,60,12,33.50,6.24,4.772,0.142,60,12,4.74,-0.73,0.617,0.130
1991,92,42,14,32.41,2.01,2.013,0.062,,,,,,
1992,93,60,12,24.15,7.80,5.439,0.225,60,12,4.97,-0.68,0.454,0.091
1993,94,60,12,29.87,5.29,3.944,0.132,60,12,3.89,-0.61,0.523,0.134
1994,95,60,12,30.92,2.39,1.850,0.060,60,12,4.26,-0.47,0.545,0.128
1995,96,60,12,31.20,3.08,2.428,0.078,,,,,,
1996,97,60,12,29.59,2.77,2.114,0.071,,,,,,
1997,98,60,12,31.62,4.17,2.840,0.090,,,,,,
1998,99,60,12,28.21,2.88,2.430,0.086,,,,,,
1999,100,60,12,29.03,3.53,2.712,0.093,,,,,,
